prov_insc,cant_insc,parr_insc,anio_insc,mes_insc,mes_reg,dia_insc,fecha_insc,hijos_rec,mcap_bie,nac_1,cod_pais1,sexo_1,anio_nac1,mes_nac1,dia_nac1,fecha_nac1,edad_1,nmatant1,est_civi1,p_etnica1,niv_inst1,sabe_leer1,prov_hab1,cant_hab1,parr_hab1,area_1,nac_2,cod_pais2,sexo_2,anio_nac2,mes_nac2,dia_nac2,fecha_nac2,edad_2,nmatant2,est_civi2,p_etnica2,niv_inst2,sabe_leer2,prov_hab2,cant_hab2,parr_hab2,area_2
9,901,90110,2020,9,septiembre,16,9/16/2020,1,2,1,218,1,1967,2,22,2/22/1967,53,1,2,6,4,0,9,901,90110,1,9,999,2,9999,99,99, ,999,0,1,6,9,0,9,901,90110,1
9,901,90110,2020,12,diciembre,1,12/01/2020,0,2,1,218,1,1989,11,5,11/05/1989,31,1,2,6,8,0,9,901,90110,1,9,999,2,9999,99,99, ,999,0,1,6,9,0,9,901,90110,1
9,901,90110,2020,12,diciembre,23,12/23/2020,1,2,1,218,1,1977,3,13,3/13/1977,43,1,2,6,6,0,9,901,90110,1,9,999,2,9999,99,99, ,999,0,1,6,9,0,9,901,90110,1
9,912,91250,2020,7,julio,28,7/28/2020,0,2,1,218,1,1945,9,23,9/23/1945,74,1,3,4,4,0,9,912,91250,1,9,999,2,9999,99,99, ,999,0,1,6,9,0,9,912,91250,1
9,901,90112,2020,7,julio,28,7/28/2020,0,2,1,218,1,1977,5,31,5/31/1977,43,1,2,6,8,0,9,901,90112,1,9,999,2,9999,99,99, ,999,0,1,6,9,0,9,901,90112,1
17,1705,170501,2020,12,diciembre,11,12/11/2020,0,2,1,218,1,1977,3,10,03/10/1977,43,1,2,6,8,0,17,1705,170501,1,9,999,2,9999,99,99, ,999,0,1,6,9,0,17,1705,170501,1
9,901,90112,2020,9,septiembre,26,9/26/2020,0,2,1,218,1,1982,2,28,2/28/1982,38,1,2,6,8,0,9,901,90112,1,9,999,2,9999,99,99, ,999,0,1,6,9,0,9,901,90112,1
9,901,90112,2020,10,octubre,14,10/14/2020,1,2,1,218,1,1992,3,4,03/04/1992,28,1,2,6,8,0,9,901,90112,1,9,999,2,9999,99,99, ,999,0,1,6,9,0,9,901,90112,1
9,901,90112,2020,10,octubre,15,10/15/2020,0,2,1,218,1,1977,1,13,1/13/1977,43,1,2,6,6,0,9,901,90112,1,9,999,2,9999,99,99, ,999,0,1,6,9,0,9,901,90112,1
9,901,90112,2020,10,octubre,16,10/16/2020,0,2,1,218,1,1985,3,5,03/05/1985,35,1,2,6,6,0,9,901,90112,1,9,999,2,9999,99,99, ,999,0,1,6,9,0,9,901,90112,1
9,901,90112,2020,11,noviembre,27,11/27/2020,0,2,1,218,1,1988,3,3,03/03/1988,32,1,2,6,8,0,9,901,90112,1,9,999,2,9999,99,99, ,999,0,1,6,9,0,9,901,90112,1
9,901,90112,2020,11,noviembre,24,11/24/2020,0,2,1,218,1,1979,11,19,11/19/1979,41,1,2,6,8,0,9,901,90112,1,9,999,2,9999,99,99, ,999,0,1,6,9,0,9,901,90112,1
