fecha;consumo_kWh
1/1/2018;1697
1/1/2018;907
1/1/2018;1230
1/1/2018;1.904
1/1/2018;3.437
1/1/2018;1.030
1/1/2018;793
1/1/2018;1024
1/1/2018;1366
1/1/2018;1543
1/1/2018;939
1/1/2018;754
1/1/2018;2060
1/1/2018;3.348
1/1/2018;716
1/1/2018;4.378
1/1/2018;2.272
1/1/2018;2.446
1/1/2018;1850
1/1/2018;3706
1/1/2018;1.619
1/1/2018;3.642
1/1/2018;1357
1/1/2018;997
1/1/2018;565
1/1/2018;1480
1/1/2018;773
1/1/2018;2409
1/1/2018;2.604
1/1/2018;988
1/1/2018;648
1/1/2018;591
1/1/2018;213
1/1/2018;277
1/1/2018;1.309
1/1/2018;2092
1/1/2018;2152
1/1/2018;2087
1/1/2018;2266
1/1/2018;1237
1/1/2018;2173
1/1/2018;3772
1/1/2018;732
1/1/2018;1221
1/1/2018;2329
1/1/2018;1446
1/1/2018;2560,2
1/1/2018;63
1/1/2018;2311
1/1/2018;6155,7
1/1/2018;2227,68
1/1/2018;3009
1/1/2018;2699
1/1/2018;3333,36
1/1/2018;983
1/1/2018;3166
1/1/2018;7589,82
1/1/2018;602673,6
1/1/2018;2960,04
1/1/2018;2155
1/1/2018;1779
1/1/2018;221535,6
1/1/2018;1210,74
1/1/2018;2203
1/1/2018;541
1/1/2018;1217,88
1/1/2018;928,2
1/1/2018;850,68
1/1/2018;917
1/1/2018;5449
1/1/2018;737
1/1/2018;817
1/1/2018;863,84
1/1/2018;1220,94
1/1/2018;2940,66
1/1/2018;3355
1/1/2018;2142
1/1/2018;768,06
1/1/2018;766,02
1/1/2018;788
1/1/2018;729,3
1/1/2018;1656
1/1/2018;966
1/1/2018;2452,08
1/1/2018;719,1
1/1/2018;1399
1/1/2018;4913,34
1/1/2018;4999
1/1/2018;989,4
1/1/2018;1869,66
1/1/2018;1445
1/1/2018;1112
1/1/2018;2613
1/1/2018;1023,06
1/1/2018;741,54
1/1/2018;2251
1/1/2018;1077,12
1/1/2018;1046
1/1/2018;1026
1/1/2018;1555,5
1/1/2018;664,02
1/1/2018;1885,98
1/1/2018;1075
1/1/2018;922,08
1/1/2018;1425,96
1/1/2018;1063
1/1/2018;1249
1/1/2018;1497
1/1/2018;2361
1/1/2018;3456
1/1/2018;1765
1/1/2018;5029,24
1/1/2018;1357,62
1/1/2018;1749
1/1/2018;7042
1/1/2018;880,26
1/1/2018;685,44
1/1/2018;2182
1/1/2018;3303
1/1/2018;2379
1/1/2018;665
1/1/2018;827
1/1/2018;795,6
1/1/2018;1405,56
1/1/2018;937,38
1/1/2018;2255
1/1/2018;6200
1/1/2018;6814
1/1/2018;2458
1/1/2018;848
1/1/2018;1021,02
1/1/2018;5598,78
1/1/2018;1641
1/1/2018;1191,36
1/1/2018;2486
1/1/2018;50
1/1/2018;1323
1/1/2018;2765
1/1/2018;1160
1/1/2018;3297
1/1/2018;0
1/1/2018;854
1/1/2018;1241
1/1/2018;2713
1/1/2018;1633
1/1/2018;3302
1/1/2018;1190
1/1/2018;883,32
1/1/2018;2488
1/1/2018;2124
1/1/2018;2098
1/1/2018;1187
1/1/2018;2644
1/1/2018;1649
1/1/2018;2866
1/1/2018;4625,7
1/1/2018;839,46
1/1/2018;1550,3
1/1/2018;464
1/1/2018;530
1/1/2018;2956
1/1/2018;2202
1/1/2018;2553,06
1/1/2018;6488
1/1/2018;9090,24
1/1/2018;6765,66
1/1/2018;48963,06
1/1/2018;2357
1/1/2018;414,12
1/1/2018;3675,06
1/1/2018;1907
1/1/2018;3573
1/1/2018;2199
1/1/2018;2159
1/1/2018;2660
1/1/2018;387
1/1/2018;2505
1/1/2018;106897,02
1/1/2018;2924
1/1/2018;2561
1/1/2018;3336
1/1/2018;1192
1/1/2018;282,54
1/1/2018;0
1/1/2018;4123
1/1/2018;2956
1/1/2018;2930
1/1/2018;2729
1/1/2018;2025
1/1/2018;3051
1/1/2018;1250
1/1/2018;1191
1/1/2018;3208,92
1/1/2018;2569
1/1/2018;2067,54
1/1/2018;0
1/1/2018;3329,46
1/1/2018;1617
1/1/2018;2344
1/1/2018;528
1/1/2018;2993,7
1/1/2018;4704
1/1/2018;1405,56
1/1/2018;6535,14
1/1/2018;3097
1/1/2018;1560
1/1/2018;666
1/1/2018;3151
1/1/2018;1483
1/1/2018;5195
1/1/2018;3750
1/1/2018;965
1/1/2018;798
1/1/2018;3380
1/1/2018;1878
1/1/2018;4875
1/1/2018;3168
1/1/2018;719,1
1/1/2018;2501,04
1/1/2018;1952,28
1/1/2018;751
1/1/2018;2591
1/1/2018;715,02
1/1/2018;643
1/1/2018;0
1/1/2018;2889
1/1/2018;1596
1/1/2018;1683
1/1/2018;2131
1/1/2018;3237
1/1/2018;461,04
1/1/2018;649
1/1/2018;1523
1/1/2018;932,28
1/1/2018;5244
1/1/2018;921
1/1/2018;2554
1/1/2018;2556
1/1/2018;2612
1/1/2018;712
1/1/2018;890
1/1/2018;63
1/1/2018;622
1/1/2018;2824
1/1/2018;1614
1/1/2018;1213
1/1/2018;1268
1/1/2018;1035
1/1/2018;1710
1/1/2018;739
1/1/2018;2570
1/1/2018;1837
1/1/2018;2265
1/1/2018;2574
1/1/2018;1717,68
1/1/2018;292
1/1/2018;1357
1/1/2018;3165
1/1/2018;417
1/1/2018;2133
1/1/2018;1735
1/1/2018;1918
1/1/2018;1775
1/1/2018;2674
1/1/2018;2674
1/1/2018;1211
1/1/2018;1603,44
1/1/2018;2240
1/1/2018;139
1/1/2018;2902
1/1/2018;1890,7
1/1/2018;1690
1/1/2018;0
1/1/2018;981
1/1/2018;1826
1/1/2018;2425
1/1/2018;3166
1/1/2018;207
1/1/2018;462,06
1/1/2018;480
1/1/2018;755
1/1/2018;263
1/1/2018;7955
1/1/2018;3222
1/1/2018;1342
1/1/2018;322
1/1/2018;237
1/1/2018;1477
1/1/2018;3188
1/1/2018;474
1/1/2018;1649
1/1/2018;640,56
1/1/2018;524,08
1/1/2018;1760
1/1/2018;3107
1/1/2018;1574
1/1/2018;1247
1/1/2018;2112
1/1/2018;4592
1/1/2018;3015
1/1/2018;2538
1/1/2018;2060
1/1/2018;2726
1/1/2018;2033
1/1/2018;4194
1/1/2018;11
1/1/2018;138
1/1/2018;4202
1/1/2018;1349
1/1/2018;1259
1/1/2018;1280
1/1/2018;2353
1/1/2018;2139
1/1/2018;664
1/1/2018;3016
1/1/2018;977
1/1/2018;1331,1
1/1/2018;7859
1/1/2018;1018
1/1/2018;1209
1/1/2018;540
1/1/2018;647
1/1/2018;1000
1/1/2018;4643
1/1/2018;1766
1/1/2018;1273
1/1/2018;778
1/1/2018;2047
1/1/2018;655
1/1/2018;2249
1/1/2018;2232
1/1/2018;2251
1/1/2018;1196
1/1/2018;130
1/1/2018;1563
1/1/2018;4419
1/1/2018;1294
1/1/2018;2390
1/1/2018;1198
1/1/2018;206
1/1/2018;3242
1/1/2018;2050
1/1/2018;1224
1/1/2018;1451
1/1/2018;4397
1/1/2018;5115
1/1/2018;743
1/1/2018;2233
1/1/2018;840
1/1/2018;2068
1/1/2018;1494
1/1/2018;2024
1/1/2018;1677
1/1/2018;2410
1/1/2018;588
1/1/2018;475
1/1/2018;1302
1/1/2018;869
1/1/2018;1755
1/1/2018;697
1/1/2018;1491
1/1/2018;2301
1/1/2018;1269
1/1/2018;3243
1/1/2018;3001
1/1/2018;1799
1/1/2018;2250
1/1/2018;2629
1/1/2018;3096
1/1/2018;634
1/1/2018;734
1/1/2018;1783
1/1/2018;1566
1/1/2018;1860
1/1/2018;3207
1/1/2018;1537
1/1/2018;2808
1/1/2018;338
1/1/2018;65117
1/1/2018;3561
1/1/2018;2100
1/1/2018;2022
1/1/2018;2101
1/1/2018;3029
1/1/2018;1319
1/1/2018;938
1/1/2018;7572
1/1/2018;4076
1/1/2018;1836
1/1/2018;2971
1/1/2018;1766
1/1/2018;4199
1/1/2018;578
1/1/2018;2152
1/1/2018;2086
1/1/2018;1775
1/1/2018;2788
1/1/2018;2330
1/1/2018;556
1/1/2018;218
1/1/2018;835
1/1/2018;1870
1/1/2018;3162
1/1/2018;2270
